source,language,article_id,url,title,extracted_at,climate_max_sim,climate_best_keyword,health_max_sim,health_best_keyword,climate_threshold,health_threshold,category
aftonbladet_se,Swedish,6026,https://www.aftonbladet.se/tagg/matias-varela,Matias Varela,2026-03-08 18:15:58,0.6020,heatwave,0.6250,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,6054,https://www.aftonbladet.se/tagg/maryland,Maryland,2026-03-08 18:16:34,0.5966,heatwave,0.6203,casualties,0.60,0.62,health
aftonbladet_se,Swedish,6070,https://www.aftonbladet.se/tagg/martin-marmgren,Martin Marmgren,2026-03-08 18:16:54,0.6089,heatwave,0.6201,deaths,0.60,0.62,climate+health
aftonbladet_se,Swedish,6076,https://www.aftonbladet.se/tagg/martin-kinnunen,Martin Kinnunen,2026-03-08 18:17:02,0.5879,heatwave,0.6256,deaths,0.60,0.62,health
aftonbladet_se,Swedish,6125,https://www.aftonbladet.se/tagg/marknadsekonomi,Marknadsekonomi,2026-03-08 18:18:03,0.5865,extreme event,0.6314,undernourishment,0.60,0.62,health
aftonbladet_se,Swedish,6164,https://www.aftonbladet.se/tagg/maria-wetterstrand,Maria Wetterstrand,2026-03-08 18:18:49,0.6027,climate action,0.5947,casualties,0.60,0.62,climate
aftonbladet_se,Swedish,6168,https://www.aftonbladet.se/tagg/maria-ressa,Maria Ressa,2026-03-08 18:18:54,0.5811,heatwave,0.6216,deaths,0.60,0.62,health
aftonbladet_se,Swedish,6258,https://www.aftonbladet.se/tagg/malung,Malung,2026-03-08 18:20:39,0.6375,heatwave,0.6651,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,6261,https://www.aftonbladet.se/tagg/malta,Malta,2026-03-08 18:20:42,0.6098,heatwave,0.6219,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,6262,https://www.aftonbladet.se/tagg/malou-von-sivers,Malou von Sivers,2026-03-08 18:20:43,0.5841,heatwave,0.6217,hunger,0.60,0.62,health
aftonbladet_se,Swedish,6299,https://www.aftonbladet.se/tagg/maldiverna,Maldiverna,2026-03-08 18:21:29,0.6028,heatwave,0.6232,west nile virus,0.60,0.62,climate+health
