,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_source[288],0.805,0.382,0.066,1.562,0.004,0.003,9044.0,10227.0,1.0
z_source[289],0.224,0.392,-0.533,0.999,0.004,0.003,10755.0,10384.0,1.0
z_source[290],0.405,0.401,-0.378,1.195,0.004,0.003,11646.0,11165.0,1.0
z_source[291],0.709,0.433,-0.161,1.539,0.004,0.004,12511.0,11837.0,1.0
z_source[292],-0.079,0.441,-0.966,0.773,0.004,0.003,12032.0,13684.0,1.0
z_source[293],0.479,0.447,-0.405,1.345,0.004,0.003,12539.0,12581.0,1.0
z_source[294],0.269,0.448,-0.623,1.125,0.004,0.003,12060.0,12519.0,1.0
z_source[295],0.011,0.469,-0.9,0.932,0.004,0.003,13390.0,12520.0,1.0
z_source[296],-0.106,0.503,-1.062,0.891,0.004,0.004,14131.0,12413.0,1.0
z_source[297],-0.198,0.962,-2.113,1.639,0.005,0.009,36565.0,10414.0,1.0
z_source[298],-0.196,0.977,-2.118,1.707,0.005,0.009,35464.0,11833.0,1.0
z_source[299],0.224,0.988,-1.664,2.195,0.005,0.009,41231.0,10967.0,1.0
z_source[300],-0.552,0.376,-1.296,0.174,0.004,0.003,7945.0,10688.0,1.0
z_source[301],-0.984,0.407,-1.787,-0.204,0.004,0.003,9462.0,11610.0,1.0
z_source[302],-0.804,0.422,-1.671,-0.02,0.004,0.003,10659.0,11703.0,1.0
z_source[303],-0.039,0.37,-0.787,0.662,0.004,0.003,8321.0,11573.0,1.0
z_source[304],-0.625,0.401,-1.415,0.156,0.004,0.003,9451.0,10905.0,1.0
z_source[305],0.144,0.506,-0.869,1.114,0.004,0.005,20037.0,11717.0,1.0
z_source[306],1.014,0.413,0.201,1.828,0.003,0.003,14071.0,11572.0,1.0
z_source[307],1.559,0.509,0.536,2.518,0.004,0.004,19901.0,12063.0,1.0
z_source[308],1.429,0.656,0.135,2.713,0.004,0.006,32407.0,11049.0,1.0
z_source[309],-1.309,0.512,-2.321,-0.325,0.004,0.004,16468.0,11775.0,1.0
z_source[310],-1.445,0.388,-2.202,-0.677,0.004,0.003,8130.0,10566.0,1.0
z_source[311],-0.728,0.391,-1.492,0.036,0.004,0.003,10560.0,12063.0,1.0
z_source[312],-0.986,0.414,-1.816,-0.196,0.004,0.003,11170.0,11705.0,1.0
z_source[313],-1.032,0.526,-2.067,-0.026,0.004,0.004,17876.0,11115.0,1.0
z_source[314],-1.241,0.717,-2.585,0.224,0.004,0.007,29835.0,10913.0,1.0
z_source[315],-1.064,0.61,-2.296,0.084,0.004,0.005,22269.0,11441.0,1.0
z_source[316],-0.674,0.891,-2.382,1.073,0.005,0.008,38611.0,11825.0,1.0
z_source[317],0.299,0.926,-1.452,2.173,0.005,0.009,35498.0,11157.0,1.0
z_source[318],0.082,1.0,-1.862,2.043,0.005,0.01,43292.0,10423.0,1.0
z_source[319],-0.1,0.48,-1.064,0.81,0.004,0.004,18594.0,10596.0,1.0
z_source[320],-0.55,0.534,-1.593,0.51,0.004,0.005,20788.0,11152.0,1.0
z_source[321],-0.177,0.524,-1.242,0.815,0.004,0.004,21937.0,11812.0,1.0
z_source[322],-0.768,0.501,-1.766,0.192,0.003,0.004,20822.0,11419.0,1.0
z_source[323],-0.963,0.542,-2.024,0.088,0.004,0.005,21853.0,11356.0,1.0
z_source[324],0.06,0.604,-1.146,1.199,0.004,0.005,24898.0,10894.0,1.0
z_source[325],-0.062,0.677,-1.355,1.295,0.004,0.006,29100.0,11529.0,1.0
z_source[326],-0.981,0.73,-2.405,0.442,0.004,0.007,32734.0,12014.0,1.0
z_source[327],-0.06,0.717,-1.471,1.326,0.004,0.007,29382.0,11180.0,1.0
z_source[328],1.688,0.705,0.31,3.061,0.004,0.006,36365.0,11661.0,1.0
z_source[329],0.493,0.791,-1.068,2.032,0.004,0.007,40379.0,11598.0,1.0
z_source[330],-1.059,0.821,-2.642,0.548,0.004,0.008,40640.0,11798.0,1.0
z_source[331],-0.177,0.781,-1.656,1.409,0.004,0.007,35535.0,11521.0,1.0
z_source[332],0.281,0.839,-1.427,1.871,0.004,0.008,35488.0,11629.0,1.0
z_source[333],1.291,0.382,0.557,2.056,0.004,0.003,9654.0,11896.0,1.0
z_source[334],1.128,0.378,0.335,1.822,0.004,0.003,8747.0,11429.0,1.0
z_source[335],1.263,0.389,0.511,2.022,0.004,0.003,9080.0,11576.0,1.0
z_source[336],1.158,0.481,0.215,2.107,0.004,0.004,14962.0,11840.0,1.0
z_source[337],1.052,0.569,-0.095,2.142,0.004,0.005,21062.0,11335.0,1.0
z_source[338],-0.657,0.883,-2.394,1.078,0.005,0.009,37709.0,10824.0,1.0
z_source[339],-1.0,0.76,-2.506,0.489,0.004,0.007,31277.0,11048.0,1.0
z_source[340],-0.519,0.763,-2.015,0.97,0.005,0.007,28697.0,10589.0,1.0
z_source[341],-0.363,0.881,-2.034,1.434,0.005,0.009,37064.0,10786.0,1.0
z_source[342],0.393,0.566,-0.762,1.471,0.004,0.005,15893.0,10681.0,1.0
z_source[343],0.594,0.284,0.034,1.148,0.005,0.002,3551.0,6371.0,1.0
z_source[344],0.823,0.281,0.292,1.4,0.005,0.003,3262.0,6542.0,1.0
z_source[345],0.665,0.276,0.104,1.188,0.005,0.003,3410.0,6090.0,1.0
z_source[346],1.116,0.278,0.595,1.68,0.005,0.003,3410.0,6147.0,1.0
z_source[347],0.893,0.282,0.348,1.45,0.005,0.003,3486.0,6305.0,1.0
z_source[348],-0.079,0.881,-1.755,1.65,0.004,0.009,42523.0,10649.0,1.0
z_source[349],0.292,0.931,-1.497,2.168,0.005,0.009,42199.0,10641.0,1.0
z_source[350],0.521,0.896,-1.224,2.291,0.005,0.008,33632.0,12061.0,1.0
z_source[351],0.135,0.978,-1.81,1.994,0.005,0.009,42318.0,10637.0,1.0
z_source[352],0.625,0.316,-0.005,1.237,0.003,0.002,9392.0,12018.0,1.0
z_source[353],0.976,0.318,0.344,1.598,0.004,0.002,8161.0,11432.0,1.0
z_source[354],1.21,0.306,0.601,1.789,0.003,0.002,7979.0,11358.0,1.0
z_source[355],0.699,0.305,0.118,1.319,0.003,0.002,8412.0,12033.0,1.0
